role=AXApplication title=Desk Setup Switcher description= value= help= enabled= actions=
  role=AXWindow title=Desk Setup Switcher UI Audit description= value= help= enabled= actions=AXRaise
    role=AXGroup title= description= value= help= enabled= actions=
            role=AXMenuItem title=Make Friendly description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Make Professional description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Make Concise description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Summarize description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Create Key Points description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Make List description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Make Table description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Compose… description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=AutoFill description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
          role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
            role=AXMenuItem title=Contact… description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Passwords… description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Credit Card… description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Start Dictation… description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Emoji & Symbols description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
    role=AXMenuBarItem title=View description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
      role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
        role=AXMenuItem title=Enter Full Screen description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
    role=AXMenuBarItem title=Window description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
      role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
        role=AXMenuItem title=Close description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Close All description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Minimize description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Minimize All description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Zoom description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Zoom All description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Fill description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Center description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Move & Resize description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
          role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
            role=AXMenuItem title=Halves description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Left description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Right description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Top description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Bottom description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Quarters description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Top Left description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Top Right description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Bottom Left description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Bottom Right description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Arrange description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Left & Right description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Left & Quarters description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Right & Left description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
